Date,Excel Time,Value,Notes
12/31/2023 11:35:48 AM EST,45291.48319,2496,
12/31/2023 11:50:49 AM EST,45291.49362,2551,
12/31/2023 12:05:50 PM EST,45291.50405,2474,
12/31/2023 12:20:51 PM EST,45291.51448,2515,
12/31/2023 12:35:52 PM EST,45291.52491,2594,
12/31/2023 12:50:53 PM EST,45291.53534,2563,
12/31/2023 01:05:54 PM EST,45291.54576,2582,
12/31/2023 01:20:55 PM EST,45291.55619,2535,
12/31/2023 01:35:56 PM EST,45291.56662,2511,
12/31/2023 01:50:57 PM EST,45291.57705,2509,
12/31/2023 02:05:58 PM EST,45291.58748,2551,
12/31/2023 02:20:59 PM EST,45291.59791,2554,
12/31/2023 02:36:00 PM EST,45291.60833,2557,
12/31/2023 02:51:01 PM EST,45291.61876,2652,
12/31/2023 03:06:02 PM EST,45291.62919,2644,
12/31/2023 03:21:03 PM EST,45291.63962,2659,
12/31/2023 03:36:04 PM EST,45291.65005,2618,
12/31/2023 03:51:05 PM EST,45291.66047,2718,
12/31/2023 04:06:06 PM EST,45291.6709,2722,
12/31/2023 04:21:08 PM EST,45291.68134,2748,
12/31/2023 04:36:09 PM EST,45291.69177,2779,
12/31/2023 04:51:10 PM EST,45291.7022,2864,
12/31/2023 05:06:11 PM EST,45291.71263,2890,
12/31/2023 05:21:12 PM EST,45291.72306,2894,
12/31/2023 05:36:13 PM EST,45291.73348,2878,
12/31/2023 05:51:14 PM EST,45291.74391,2899,
12/31/2023 06:06:15 PM EST,45291.75434,2864,
12/31/2023 06:21:16 PM EST,45291.76477,2874,
12/31/2023 06:36:17 PM EST,45291.7752,2897,
12/31/2023 06:51:18 PM EST,45291.78563,2877,
12/31/2023 07:06:19 PM EST,45291.79605,2893,
12/31/2023 07:21:20 PM EST,45291.80648,2900,
12/31/2023 07:36:21 PM EST,45291.81691,2847,
12/31/2023 07:51:22 PM EST,45291.82734,2831,
12/31/2023 08:06:23 PM EST,45291.83777,2887,
12/31/2023 08:21:24 PM EST,45291.84819,2856,
12/31/2023 08:36:25 PM EST,45291.85862,2875,
12/31/2023 08:51:26 PM EST,45291.86905,2857,
12/31/2023 09:06:27 PM EST,45291.87948,2918,
12/31/2023 09:21:28 PM EST,45291.88991,2858,
12/31/2023 09:36:29 PM EST,45291.90034,2907,
12/31/2023 09:51:30 PM EST,45291.91076,2941,
12/31/2023 10:06:31 PM EST,45291.92119,2912,
12/31/2023 10:21:32 PM EST,45291.93162,2878,
12/31/2023 10:36:33 PM EST,45291.94205,2880,
12/31/2023 10:51:34 PM EST,45291.95248,2869,
12/31/2023 11:06:35 PM EST,45291.96291,2845,
12/31/2023 11:21:36 PM EST,45291.97333,2849,
12/31/2023 11:36:37 PM EST,45291.98376,2856,
12/31/2023 11:51:38 PM EST,45291.99419,2901,
1/1/2024 12:06:39 AM EST,45292.00462,2921,
1/1/2024 12:21:40 AM EST,45292.01505,2823,
1/1/2024 12:36:41 AM EST,45292.02547,2843,
1/1/2024 12:51:42 AM EST,45292.0359,2861,
1/1/2024 01:06:43 AM EST,45292.04633,2831,
1/1/2024 01:21:44 AM EST,45292.05676,2865,
1/1/2024 01:36:45 AM EST,45292.06719,2828,
1/1/2024 01:51:46 AM EST,45292.07762,2882,
1/1/2024 02:06:47 AM EST,45292.08804,2865,
1/1/2024 02:21:48 AM EST,45292.09847,2892,
1/1/2024 02:36:49 AM EST,45292.1089,2827,
1/1/2024 02:51:50 AM EST,45292.11933,2801,
1/1/2024 03:06:51 AM EST,45292.12976,2889,
1/1/2024 03:21:52 AM EST,45292.14019,2844,
1/1/2024 03:36:53 AM EST,45292.15061,2790,
1/1/2024 03:51:54 AM EST,45292.16104,2844,
1/1/2024 04:06:55 AM EST,45292.17147,2923,
1/1/2024 04:21:56 AM EST,45292.1819,2819,
1/1/2024 04:36:57 AM EST,45292.19233,2845,
1/1/2024 04:51:58 AM EST,45292.20275,2824,
1/1/2024 05:06:59 AM EST,45292.21318,2838,
1/1/2024 05:22:00 AM EST,45292.22361,2869,
1/1/2024 05:37:01 AM EST,45292.23404,2796,
1/1/2024 05:52:02 AM EST,45292.24447,2815,
1/1/2024 06:07:03 AM EST,45292.2549,2859,
1/1/2024 06:22:04 AM EST,45292.26532,2905,
1/1/2024 06:37:05 AM EST,45292.27575,2941,
1/1/2024 06:52:06 AM EST,45292.28618,2840,
1/1/2024 07:07:07 AM EST,45292.29661,2947,
1/1/2024 07:22:08 AM EST,45292.30704,2980,
1/1/2024 07:37:09 AM EST,45292.31747,2932,
1/1/2024 07:52:10 AM EST,45292.32789,2930,
1/1/2024 08:07:11 AM EST,45292.33832,2826,
1/1/2024 08:22:12 AM EST,45292.34875,2860,
1/1/2024 08:37:13 AM EST,45292.35918,2809,
1/1/2024 08:52:14 AM EST,45292.36961,2731,
1/1/2024 09:07:15 AM EST,45292.38003,2769,
1/1/2024 09:22:16 AM EST,45292.39046,2766,
1/1/2024 09:37:17 AM EST,45292.40089,2755,
1/1/2024 09:52:18 AM EST,45292.41132,2769,
1/1/2024 10:07:19 AM EST,45292.42175,2685,
1/1/2024 10:22:20 AM EST,45292.43218,2748,
1/1/2024 10:37:22 AM EST,45292.44262,2706,
1/1/2024 10:52:23 AM EST,45292.45304,2741,
1/1/2024 11:07:24 AM EST,45292.46347,2749,
1/1/2024 11:22:25 AM EST,45292.4739,2703,
1/1/2024 11:37:26 AM EST,45292.48433,2692,
1/1/2024 11:52:27 AM EST,45292.49476,2762,
1/1/2024 12:07:28 PM EST,45292.50519,2661,
1/1/2024 12:22:29 PM EST,45292.51561,2723,
1/1/2024 12:37:30 PM EST,45292.52604,2783,
1/1/2024 12:52:31 PM EST,45292.53647,2714,
1/1/2024 01:07:32 PM EST,45292.5469,2737,
1/1/2024 01:22:33 PM EST,45292.55733,2686,
1/1/2024 01:37:34 PM EST,45292.56775,2701,
1/1/2024 01:52:35 PM EST,45292.57818,2750,
1/1/2024 02:07:36 PM EST,45292.58861,2759,
1/1/2024 02:22:37 PM EST,45292.59904,2755,
1/1/2024 02:37:38 PM EST,45292.60947,2775,
1/1/2024 02:52:39 PM EST,45292.6199,2819,
1/1/2024 03:07:40 PM EST,45292.63032,2776,
1/1/2024 03:22:41 PM EST,45292.64075,2854,
1/1/2024 03:37:42 PM EST,45292.65118,2828,
1/1/2024 03:52:43 PM EST,45292.66161,2812,
1/1/2024 04:07:44 PM EST,45292.67204,2800,
1/1/2024 04:22:45 PM EST,45292.68247,2853,
1/1/2024 04:37:46 PM EST,45292.69289,2944,
1/1/2024 04:52:47 PM EST,45292.70332,2919,
1/1/2024 05:07:48 PM EST,45292.71375,2921,
1/1/2024 05:22:49 PM EST,45292.72418,2993,
1/1/2024 05:37:50 PM EST,45292.73461,2917,
1/1/2024 05:52:51 PM EST,45292.74503,2933,
1/1/2024 06:07:52 PM EST,45292.75546,2934,
1/1/2024 06:22:53 PM EST,45292.76589,2976,
1/1/2024 06:37:54 PM EST,45292.77632,2934,
1/1/2024 06:52:55 PM EST,45292.78675,2979,
1/1/2024 07:07:56 PM EST,45292.79718,2965,
1/1/2024 07:22:57 PM EST,45292.8076,2984,
1/1/2024 07:37:58 PM EST,45292.81803,2921,
1/1/2024 07:52:59 PM EST,45292.82846,2937,
1/1/2024 08:08:00 PM EST,45292.83889,3159,
1/1/2024 08:23:01 PM EST,45292.84932,3193,
1/1/2024 08:38:02 PM EST,45292.85975,3241,
1/1/2024 08:53:03 PM EST,45292.87017,3191,
1/1/2024 09:08:04 PM EST,45292.8806,3236,
1/1/2024 09:23:05 PM EST,45292.89103,3249,
1/1/2024 09:38:06 PM EST,45292.90146,3206,
1/1/2024 09:53:07 PM EST,45292.91189,3199,
1/1/2024 10:08:08 PM EST,45292.92231,3242,
1/1/2024 10:23:09 PM EST,45292.93274,3218,
1/1/2024 10:38:10 PM EST,45292.94317,3195,
1/1/2024 10:53:11 PM EST,45292.9536,3205,
1/1/2024 11:08:12 PM EST,45292.96403,3192,
1/1/2024 11:23:13 PM EST,45292.97446,3332,
1/1/2024 11:38:14 PM EST,45292.98488,3275,
1/1/2024 11:53:15 PM EST,45292.99531,3293,
1/2/2024 12:08:16 AM EST,45293.00574,3509,
1/2/2024 12:23:17 AM EST,45293.01617,3538,
1/2/2024 12:38:18 AM EST,45293.0266,3530,
1/2/2024 12:53:19 AM EST,45293.03703,3524,
1/2/2024 01:08:20 AM EST,45293.04745,3507,
1/2/2024 01:23:21 AM EST,45293.05788,3493,
1/2/2024 01:38:22 AM EST,45293.06831,3525,
1/2/2024 01:53:23 AM EST,45293.07874,3484,
1/2/2024 02:08:24 AM EST,45293.08917,3458,
1/2/2024 02:23:25 AM EST,45293.09959,3463,
1/2/2024 02:38:26 AM EST,45293.11002,3510,
1/2/2024 02:53:27 AM EST,45293.12045,3488,
1/2/2024 03:08:28 AM EST,45293.13088,3502,
1/2/2024 03:23:29 AM EST,45293.14131,3418,
1/2/2024 03:38:30 AM EST,45293.15174,3446,
1/2/2024 03:53:31 AM EST,45293.16216,3462,
1/2/2024 04:08:32 AM EST,45293.17259,3438,
1/2/2024 04:23:33 AM EST,45293.18302,3459,
1/2/2024 04:38:34 AM EST,45293.19345,3424,
1/2/2024 04:53:36 AM EST,45293.20389,3394,
1/2/2024 05:08:37 AM EST,45293.21432,3487,
1/2/2024 05:23:38 AM EST,45293.22475,3451,
1/2/2024 05:38:39 AM EST,45293.23517,3465,
1/2/2024 05:53:40 AM EST,45293.2456,3518,
1/2/2024 06:08:41 AM EST,45293.25603,3493,
1/2/2024 06:23:42 AM EST,45293.26646,3548,
1/2/2024 06:38:43 AM EST,45293.27689,3559,
1/2/2024 06:53:44 AM EST,45293.28731,3614,
1/2/2024 07:08:45 AM EST,45293.29774,3621,
1/2/2024 07:23:46 AM EST,45293.30817,3637,
1/2/2024 07:38:47 AM EST,45293.3186,3574,
1/2/2024 07:53:48 AM EST,45293.32903,3630,
1/2/2024 08:08:49 AM EST,45293.33946,3684,
1/2/2024 08:23:50 AM EST,45293.34988,3594,
1/2/2024 08:38:51 AM EST,45293.36031,3616,
1/2/2024 08:53:52 AM EST,45293.37074,3689,
1/2/2024 09:08:53 AM EST,45293.38117,3679,
1/2/2024 09:23:54 AM EST,45293.3916,3657,
1/2/2024 09:38:55 AM EST,45293.40203,3640,
1/2/2024 09:53:56 AM EST,45293.41245,3582,
1/2/2024 10:08:57 AM EST,45293.42288,3637,
1/2/2024 10:23:58 AM EST,45293.43331,3447,
1/2/2024 10:38:59 AM EST,45293.44374,3468,
1/2/2024 10:54:00 AM EST,45293.45417,3450,
1/2/2024 11:09:01 AM EST,45293.46459,3330,
1/2/2024 11:24:02 AM EST,45293.47502,3412,
1/2/2024 11:39:03 AM EST,45293.48545,3375,
1/2/2024 11:54:04 AM EST,45293.49588,3303,
1/2/2024 12:09:05 PM EST,45293.50631,3449,
1/2/2024 12:24:06 PM EST,45293.51674,3455,
1/2/2024 12:39:07 PM EST,45293.52716,3470,
1/2/2024 12:54:08 PM EST,45293.53759,3405,
1/2/2024 01:09:09 PM EST,45293.54802,3428,
1/2/2024 01:24:10 PM EST,45293.55845,3507,
1/2/2024 01:39:11 PM EST,45293.56888,3466,
1/2/2024 01:54:12 PM EST,45293.57931,3482,
1/2/2024 02:09:13 PM EST,45293.58973,3575,
1/2/2024 02:24:14 PM EST,45293.60016,3430,
1/2/2024 02:39:15 PM EST,45293.61059,3397,
1/2/2024 02:54:16 PM EST,45293.62102,3479,
1/2/2024 03:09:17 PM EST,45293.63145,3586,
1/2/2024 03:24:18 PM EST,45293.64188,3575,
1/2/2024 03:39:19 PM EST,45293.6523,3553,
1/2/2024 03:54:20 PM EST,45293.66273,3601,
1/2/2024 04:09:21 PM EST,45293.67316,3608,
1/2/2024 04:24:22 PM EST,45293.68359,3666,
1/2/2024 04:39:23 PM EST,45293.69402,3637,
1/2/2024 04:54:24 PM EST,45293.70444,3728,
1/2/2024 05:09:25 PM EST,45293.71487,3736,
1/2/2024 05:24:26 PM EST,45293.7253,3706,
1/2/2024 05:39:27 PM EST,45293.73573,3695,
1/2/2024 05:54:28 PM EST,45293.74616,3690,
1/2/2024 06:09:29 PM EST,45293.75659,3681,
1/2/2024 06:24:30 PM EST,45293.76701,3638,
1/2/2024 06:39:31 PM EST,45293.77744,3682,
1/2/2024 06:54:32 PM EST,45293.78787,3624,
1/2/2024 07:09:33 PM EST,45293.7983,3653,
1/2/2024 07:24:34 PM EST,45293.80873,3621,
1/2/2024 07:39:35 PM EST,45293.81916,3628,
1/2/2024 07:54:36 PM EST,45293.82958,3612,
1/2/2024 08:09:37 PM EST,45293.84001,3622,
1/2/2024 08:24:38 PM EST,45293.85044,3567,
1/2/2024 08:39:39 PM EST,45293.86087,3590,
1/2/2024 08:54:40 PM EST,45293.8713,3624,
1/2/2024 09:09:41 PM EST,45293.88172,3638,
1/2/2024 09:24:42 PM EST,45293.89215,3577,
1/2/2024 09:39:43 PM EST,45293.90258,3546,
1/2/2024 09:54:44 PM EST,45293.91301,3548,
1/2/2024 10:09:45 PM EST,45293.92344,3655,
1/2/2024 10:24:46 PM EST,45293.93387,3572,
1/2/2024 10:39:47 PM EST,45293.94429,3561,
1/2/2024 10:54:48 PM EST,45293.95472,3584,
1/2/2024 11:09:50 PM EST,45293.96516,3523,
1/2/2024 11:24:51 PM EST,45293.97559,3592,
1/2/2024 11:39:52 PM EST,45293.98602,3536,
1/2/2024 11:54:53 PM EST,45293.99645,3573,
1/3/2024 12:09:54 AM EST,45294.00688,3626,
1/3/2024 12:24:55 AM EST,45294.0173,3507,
1/3/2024 12:39:56 AM EST,45294.02773,3515,
1/3/2024 12:54:57 AM EST,45294.03816,3561,
1/3/2024 01:09:58 AM EST,45294.04859,3462,
1/3/2024 01:24:59 AM EST,45294.05902,3482,
1/3/2024 01:40:00 AM EST,45294.06944,3535,
1/3/2024 01:55:01 AM EST,45294.07987,3447,
1/3/2024 02:10:02 AM EST,45294.0903,3427,
1/3/2024 02:25:03 AM EST,45294.10073,3502,
1/3/2024 02:40:04 AM EST,45294.11116,3542,
1/3/2024 02:55:05 AM EST,45294.12159,3491,
1/3/2024 03:10:06 AM EST,45294.13201,3501,
1/3/2024 03:25:07 AM EST,45294.14244,3427,
1/3/2024 03:40:08 AM EST,45294.15287,3525,
1/3/2024 03:55:09 AM EST,45294.1633,3429,
1/3/2024 04:10:10 AM EST,45294.17373,3485,
1/3/2024 04:25:11 AM EST,45294.18416,3467,
1/3/2024 04:40:12 AM EST,45294.19458,3529,
1/3/2024 04:55:13 AM EST,45294.20501,3526,
1/3/2024 05:10:14 AM EST,45294.21544,3510,
1/3/2024 05:25:15 AM EST,45294.22587,3449,
1/3/2024 05:40:16 AM EST,45294.2363,3531,
1/3/2024 05:55:17 AM EST,45294.24672,3517,
1/3/2024 06:10:18 AM EST,45294.25715,3519,
1/3/2024 06:25:19 AM EST,45294.26758,3623,
1/3/2024 06:40:20 AM EST,45294.27801,3551,
1/3/2024 06:55:21 AM EST,45294.28844,3531,
1/3/2024 07:10:22 AM EST,45294.29887,3610,
1/3/2024 07:25:23 AM EST,45294.30929,3641,
1/3/2024 07:40:24 AM EST,45294.31972,3651,
1/3/2024 07:55:25 AM EST,45294.33015,3629,
1/3/2024 08:10:26 AM EST,45294.34058,3591,
1/3/2024 08:25:27 AM EST,45294.35101,3626,
1/3/2024 08:40:28 AM EST,45294.36144,3590,
1/3/2024 08:55:29 AM EST,45294.37186,3606,
1/3/2024 09:10:30 AM EST,45294.38229,3614,
1/3/2024 09:25:31 AM EST,45294.39272,3589,
1/3/2024 09:40:32 AM EST,45294.40315,3783,
1/3/2024 09:55:33 AM EST,45294.41358,3642,
1/3/2024 10:10:34 AM EST,45294.424,3628,
1/3/2024 10:25:35 AM EST,45294.43443,3690,
1/3/2024 10:40:36 AM EST,45294.44486,3635,
1/3/2024 10:55:37 AM EST,45294.45529,3661,
1/3/2024 11:10:38 AM EST,45294.46572,3689,
1/3/2024 11:25:39 AM EST,45294.47615,3605,
1/3/2024 11:40:40 AM EST,45294.48657,3615,
1/3/2024 11:55:41 AM EST,45294.497,3600,
1/3/2024 12:10:42 PM EST,45294.50743,3610,
1/3/2024 12:25:43 PM EST,45294.51786,3624,
